fold,held_out_subjects,held_out_windows,auc,train_auc,threshold,iterations,seconds
0,12,3816,0.9905537754003142,0.9889647419430063,0.4877115014690888,,67.33771276473999
1,12,3814,0.980350540040868,0.9880136387769887,0.5046685205742752,,49.879231691360474
2,12,3816,0.9937889500909203,0.9873404967873637,0.5106076949395417,,50.14110541343689
3,12,3812,0.9596462204217194,0.9904466286632845,0.4970929650217897,,48.86594605445862
4,12,3816,0.9951794205226889,0.9887414979784457,0.4832879950417651,,49.21653079986572
5,12,3814,0.9843444151216894,0.9889854815213095,0.5184224440104951,,52.6443829536438
6,12,3814,0.9820561182306737,0.9894300212800786,0.4827619523278444,,70.29243469238281
7,11,3496,0.9851165406678486,0.9890896981842927,0.5054372917900286,,67.80587553977966
8,11,3496,0.9918151853406882,0.9881413002294575,0.47431042587190064,,49.3156521320343
9,11,3494,0.987751117482416,0.9897628679540904,0.5106124701017163,,49.805726528167725
