subject,set,within_subject_auc
0,development,0.9997351835178222
1,development,0.9918436523489222
4,development,0.9938032943170383
5,development,0.9998940734071289
6,development,0.9998940734071289
7,development,0.9996822202213865
8,development,0.9977755415497062
11,development,0.9726131608976798
12,development,0.9574525892517526
13,development,0.9591642666956475
14,development,0.9750040754224854
15,development,0.9949155235421852
16,development,0.991261056088131
18,development,0.9845347174408136
19,development,0.9782644134108569
21,development,0.9496277780796609
22,development,0.9843758275515068
23,development,0.986706212594672
24,development,0.9998411101106932
25,development,0.9996822202213865
27,development,0.9989936973677241
28,development,0.9998411101106932
29,development,0.9981992479211906
31,development,0.9873947354483343
32,development,0.9677226539151226
33,development,0.9824161855833907
34,development,0.9097505428737884
35,development,0.9995762936285154
36,development,0.9995233303320799
37,development,0.9997881468142576
38,development,0.9987288808855463
39,development,0.9918436523489221
40,development,0.9935384778348604
41,development,0.990625496530904
42,development,0.9888777077485302
43,development,0.9985699909962397
44,development,0.9997881468142578
45,development,0.9986759175891108
46,development,0.9994174037392087
47,development,0.9994174037392087
48,development,0.9996822202213865
49,development,0.9973518351782216
50,development,0.9998940734071289
51,development,0.9940151475027806
52,development,0.9919495789417934
53,development,0.9919495789417934
55,development,0.998887770774853
56,development,0.997298871881786
57,development,0.997837552742616
58,development,0.9998940734071288
59,development,0.9981992479211906
60,development,0.998517027699804
61,development,0.9934325512419893
63,development,0.9968222022138659
64,development,0.9992055505534664
65,development,0.9981462846247551
66,development,0.9951273767279276
67,development,0.9985699909962397
68,development,0.9991033755274262
70,development,0.9990466606641598
72,development,0.9978814681425772
73,development,0.9934325512419894
74,development,0.997775541549706
75,development,0.9941210740956518
76,development,0.9853821301837826
77,development,0.99952333033208
78,development,0.9975636883639638
80,development,0.9966633123245591
81,development,0.9994703670356443
83,development,0.9985170276998041
84,development,0.9931677347598115
85,development,0.9982522112176261
87,development,0.9815952544886394
88,development,0.8475716328584291
90,development,0.970806277056277
91,development,0.9936444044277316
92,development,0.997775541549706
93,development,0.9948625602457497
94,development,0.9966633123245591
95,development,0.9961866426566389
97,development,0.9998940734071289
98,development,0.99581589958159
99,development,0.9989407340712886
100,development,0.9923203220168424
101,development,0.990295358649789
102,development,0.9987818441819819
104,development,0.9941740373920873
105,development,0.9827869286584398
106,development,0.9820984058047773
108,development,0.9991525872570308
109,development,0.998887770774853
111,development,0.998887770774853
112,development,0.9810921031725014
113,development,0.9994703670356443
115,development,0.9997351835178221
116,development,0.9902017901594196
117,development,0.9981462846247551
118,development,0.9994174037392087
120,development,0.9633223684210527
121,development,0.9917906890524867
123,development,0.9915258725703088
124,development,0.9523859965044225
125,development,0.9980403580318838
127,development,0.9997881468142576
128,development,0.9986229542926752
131,development,0.9831549203934141
132,development,0.9946507070600075
133,development,0.9871299189661564
134,development,0.9952333033207986
135,development,0.992479211906149
136,development,0.9964514591388168
137,development,0.9905725332344686
138,development,0.9955510830994122
139,development,0.974786719556594
143,development,0.9986759175891107
144,development,0.9993114771463376
145,development,0.9977225782532706
2,final_test,0.9915258725703088
3,final_test,0.9814098829511149
9,final_test,0.9992055505534665
10,final_test,0.8898363434140141
17,final_test,0.9876065886340766
20,final_test,0.9958688628780256
26,final_test,0.9983581378104973
30,final_test,0.9994174037392087
54,final_test,0.9998940734071289
62,final_test,0.995921826174461
69,final_test,0.999258513849902
71,final_test,0.9984111011069329
79,final_test,0.9424050632911393
82,final_test,0.9983051745140619
86,final_test,0.9921614321275356
89,final_test,0.9932736613526826
96,final_test,0.9997351835178221
103,final_test,0.9921084688311
107,final_test,0.9995762936285154
110,final_test,0.9939092209099094
114,final_test,0.998517027699804
119,final_test,0.9795685486062055
122,final_test,0.9993644404427732
126,final_test,0.9999470367035644
129,final_test,0.9997881468142578
130,final_test,0.9981992479211906
140,final_test,0.9724501439982611
141,final_test,0.9890365976378369
142,final_test,0.9957629362851544
