fold,held_out_subjects,held_out_windows,auc,train_auc,threshold,iterations,seconds
0,12,3816,0.9968130071971235,0.9997450032296334,0.34187635102430647,489,4.848558664321899
1,12,3814,0.991767435963213,0.999717125615979,0.5911060552956883,500,4.9036126136779785
2,12,3816,0.9987108586527315,0.9993300347060913,0.5278174708866793,364,4.308771133422852
3,12,3812,0.9721658333924308,0.9995317439556749,0.38404884604376216,385,4.401247501373291
4,12,3816,0.9987171112641162,0.9998111373910221,0.1533913262003645,498,5.084768295288086
5,12,3814,0.9899756750227297,0.9971154571572566,0.48234436450829987,122,1.9948272705078125
6,12,3814,0.9928575119588968,0.9998377833003467,0.1535910547835423,490,5.267131328582764
7,11,3496,0.9965603531042725,0.9996865621974245,0.6286800737027698,499,9.83050799369812
8,11,3496,0.9976423030671557,0.99974144738615,0.27920831608133484,482,9.095866441726685
9,11,3494,0.9943462975218604,0.9996936933502869,0.6808277983151911,473,8.005200862884521
