subject,set,within_subject_auc
0,development,1.0
1,development,0.9989407340712886
4,development,0.998517027699804
5,development,0.9996292569249511
6,development,1.0
7,development,0.9995762936285154
8,development,0.9989407340712886
11,development,0.9851654621529098
12,development,0.9658751290550454
13,development,0.9749497364560127
14,development,0.9857088518176385
15,development,0.9994703670356443
16,development,0.999629256924951
18,development,0.9920025422382289
19,development,0.9928272564255828
21,development,0.974786719556594
22,development,0.9951273767279275
23,development,0.9958688628780256
24,development,1.0
25,development,1.0
27,development,0.9995233303320799
28,development,1.0
29,development,0.9998411101106933
31,development,0.9979873947354483
32,development,0.9900016301689942
33,development,0.9866002860018008
34,development,0.890948572639161
35,development,1.0
36,development,0.9995762936285155
37,development,1.0
38,development,0.9995762936285154
39,development,0.9987818441819819
40,development,0.9989936973677241
41,development,0.997034055399608
42,development,0.9907314231237753
43,development,0.9999470367035644
44,development,1.0
45,development,0.9997881468142578
46,development,1.0
47,development,1.0
48,development,1.0
49,development,0.9999470367035644
50,development,0.9998411101106933
51,development,0.9988348074784175
52,development,0.9985699909962397
53,development,0.9986759175891107
55,development,1.0
56,development,0.9997881468142576
57,development,0.9999472573839663
58,development,1.0
59,development,0.9995233303320799
60,development,0.9996822202213866
61,development,0.9995233303320799
63,development,0.9998940734071289
64,development,1.0
65,development,0.9998940734071289
66,development,0.9994703670356443
67,development,1.0
68,development,1.0
70,development,0.9996822202213866
72,development,0.9997351835178222
73,development,0.99163179916318
74,development,0.9997881468142578
75,development,0.9988348074784175
76,development,0.9942270006885229
77,development,1.0
78,development,0.9997351835178222
80,development,0.9989936973677241
81,development,1.0
83,development,0.9996292569249511
84,development,0.9936973677241672
85,development,1.0
87,development,0.9907314231237753
88,development,0.91499390922091
90,development,0.9926406926406927
91,development,0.9971399819924792
92,development,0.9989407340712886
93,development,0.9980933213283195
94,development,0.9995762936285154
95,development,0.9981462846247551
97,development,1.0
98,development,0.9998411101106933
99,development,0.9997881468142576
100,development,0.9983581378104973
101,development,0.9979957805907174
102,development,0.9999470367035644
104,development,0.997404798474657
105,development,0.994809596949314
106,development,0.986706212594672
108,development,1.0
109,development,0.9997881468142578
111,development,0.9996822202213865
112,development,0.9892484508235793
113,development,0.9998411101106933
115,development,1.0
116,development,0.9979344314390127
117,development,0.9998940734071289
118,development,1.0
120,development,0.9759868421052632
121,development,0.9963984958423813
123,development,0.9978285048461416
124,development,0.9894603040093215
125,development,0.9993644404427732
127,development,1.0
128,development,0.9996292569249511
131,development,0.9953268488833342
132,development,0.9978285048461416
133,development,0.9940681107992162
134,development,0.9993644404427732
135,development,0.9975636883639638
136,development,0.9997351835178222
137,development,0.9992055505534665
138,development,0.9992055505534665
139,development,0.9974460685757757
143,development,1.0
144,development,0.9998940734071289
145,development,0.9999470367035644
2,final_test,1.0
3,final_test,0.9950744134314919
9,final_test,0.9996822202213865
10,final_test,0.852391292834066
17,final_test,0.9957099729887188
20,final_test,0.9997351835178222
26,final_test,0.99952333033208
30,final_test,0.9997881468142578
54,final_test,1.0
62,final_test,1.0
69,final_test,0.9999470367035644
71,final_test,0.9996822202213865
79,final_test,0.9891877637130801
82,final_test,1.0
86,final_test,0.9988348074784175
89,final_test,0.9985699909962397
96,final_test,1.0
103,final_test,0.999258513849902
107,final_test,0.9998940734071289
110,final_test,0.9997881468142576
114,final_test,0.9997351835178222
119,final_test,0.9938053578220942
122,final_test,0.9994703670356443
126,final_test,1.0
129,final_test,0.9998940734071289
130,final_test,0.9997351835178222
140,final_test,0.9971743737434113
141,final_test,0.9989936973677241
142,final_test,0.9990466606641598
