fold,held_out_subjects,held_out_windows,auc,train_auc,threshold,iterations,seconds
0,12,3816,0.9796451753379354,0.9854844124944224,0.4094258476769464,,2.41062331199646
1,12,3814,0.9675940464290663,0.9854115852071279,0.4736952895897367,,2.438948392868042
2,12,3816,0.9827692742262945,0.9849911296341943,0.39980721159344523,,2.4848906993865967
3,12,3812,0.9102405562253268,0.9857599760798204,0.43740800617715836,,2.4119110107421875
4,12,3816,0.9885910071265058,0.9860065294114535,0.33584462901781553,,2.5082147121429443
5,12,3814,0.9620205775660637,0.9870761159326047,0.6744305793479323,,2.4428327083587646
6,12,3814,0.9667437474162877,0.9868481614309736,0.43131345177665026,,2.5333869457244873
7,11,3496,0.9719632307546967,0.9859002638572938,0.5752190849896219,,2.4535326957702637
8,11,3496,0.9817743533992032,0.9851334270512165,0.3201501626330544,,2.4476728439331055
9,11,3494,0.977110574143007,0.9865467537550848,0.8167752382508706,,2.4419407844543457
