subject,set,within_subject_auc
0,development,0.9985435093480218
1,development,0.9847995339229915
4,development,0.9787087548329008
5,development,0.9998411101106932
6,development,0.9995762936285154
7,development,0.9878449234680367
8,development,0.9900958635665483
11,development,0.9487855240993317
12,development,0.9402543063630929
13,development,0.9263163614628049
14,development,0.949763625495843
15,development,0.9856204650177427
16,development,0.9724061225570678
18,development,0.9759017001218155
19,development,0.9753301092213226
21,development,0.8369559310981906
22,development,0.9748424341931041
23,development,0.9832371166781421
24,development,0.9990466606641598
25,development,0.9989407340712886
27,development,0.9952862666172343
28,development,0.9873417721518988
29,development,0.9920025422382288
31,development,0.9845876807372491
32,development,0.9331902407216215
33,development,0.9578941793337217
34,development,0.7610031248344896
35,development,0.991605317514962
36,development,0.9962396059530745
37,development,0.999020179015942
38,development,0.988030295005561
39,development,0.9792119061490386
40,development,0.9860176897410096
41,development,0.9886128912663525
42,development,0.9721413060748901
43,development,0.9994968486838621
44,development,0.9985964726444573
45,development,0.9974312801228747
46,development,0.9993114771463375
47,development,0.9890101159896191
48,development,0.9983051745140618
49,development,0.9848789788676446
50,development,0.9995233303320799
51,development,0.9716646364069699
52,development,0.9884275197288279
53,development,0.9631375456808433
55,development,0.9974312801228749
56,development,0.9986229542926752
57,development,0.9764767932489451
58,development,0.9717440813516234
59,development,0.9814628462475505
60,development,0.9961601610084212
61,development,0.9774641173666648
63,development,0.9904930882898152
64,development,0.9863619511678408
65,development,0.9836078597531911
66,development,0.9824691488798263
67,development,0.9975636883639638
68,development,0.9879746835443037
70,development,0.9936973677241671
72,development,0.9973783168264393
73,development,0.988056776653779
74,development,0.9950479317832742
75,development,0.9761135533075579
76,development,0.9565965785710502
77,development,0.993962184206345
78,development,0.9927969916847624
80,development,0.9716646364069699
81,development,0.9870504740215031
83,development,0.9768815211058735
84,development,0.9792383877972565
85,development,0.9836078597531911
87,development,0.9043482866373603
88,development,0.5836025634235474
90,development,0.9124458874458874
91,development,0.9583973306498598
92,development,0.9676394258778667
93,development,0.9467983687304697
94,development,0.9617340183253006
95,development,0.964276256554208
97,development,0.9962396059530746
98,development,0.9891160425824903
99,development,0.9435146443514645
100,development,0.958238440760553
101,development,0.9883702531645571
102,development,0.9963720141941634
104,development,0.9634553254594566
105,development,0.9644351464435147
106,development,0.9524919230972937
108,development,0.993962184206345
109,development,0.9985435093480218
111,development,0.9922143954239712
112,development,0.9670303479688576
113,development,0.9997351835178221
115,development,1.0
116,development,0.9699962925692496
117,development,0.9869180657804142
118,development,0.9995762936285155
120,development,0.899890350877193
121,development,0.9735713150786506
123,development,0.976457814734389
124,development,0.8492929399925851
125,development,0.9898310470843705
127,development,0.9978814681425773
128,development,0.9906254965309041
131,development,0.9678041623648318
132,development,0.9896986388432817
133,development,0.9718235262962767
134,development,0.9877919601716011
135,development,0.9817011810815106
136,development,0.9843228642550713
137,development,0.990387161696944
138,development,0.9890365976378369
139,development,0.9591099277291746
143,development,0.9966897939727768
144,development,0.9986759175891108
145,development,0.9872623272072455
2,final_test,0.9832900799745776
3,final_test,0.9669244213759864
9,final_test,0.9992849954981199
10,final_test,0.7370372331973942
17,final_test,0.9831576717334887
20,final_test,0.9933531062973359
26,final_test,0.9907843864202107
30,final_test,0.9987818441819818
54,final_test,0.9998940734071288
62,final_test,0.9875801069858589
69,final_test,0.9996822202213865
71,final_test,0.9916317991631799
79,final_test,0.9147679324894515
82,final_test,0.9840845294211111
86,final_test,0.983607859753191
89,final_test,0.9260897198241619
96,final_test,0.999629256924951
103,final_test,0.9792119061490387
107,final_test,0.9976696149568348
110,final_test,0.9736507600233039
114,final_test,0.9892484508235793
119,final_test,0.9406890180948758
122,final_test,0.9607277156930247
126,final_test,1.0
129,final_test,0.9997087018696045
130,final_test,0.9987288808855463
140,final_test,0.9468836602727817
141,final_test,0.9809861765796303
142,final_test,0.9822308140458662
