fold,held_out_subjects,held_out_windows,auc,train_auc,threshold,iterations,seconds
0,12,3816,0.9928654026093251,0.9961413808649348,0.47859040402772546,,4.980562210083008
1,12,3814,0.9813193479997996,0.9958987264910408,0.5306925125394492,,4.178283214569092
2,12,3816,0.99398020643916,0.9956075938056889,0.5338292908419462,,5.308937072753906
3,12,3812,0.9669763373755997,0.9964941038739753,0.5154906726960587,,4.8198020458221436
4,12,3816,0.9963778990048785,0.9966443081651742,0.4750580298414593,,4.304675579071045
5,12,3814,0.9863123592646074,0.9963418257108544,0.5769325915904827,,5.406025171279907
6,12,3814,0.9899726126498554,0.9963259691364454,0.4880150337007977,,4.483537435531616
7,11,3496,0.9894723428749701,0.9960110498342712,0.5569709784064286,,4.541542291641235
8,11,3496,0.992514948386443,0.9963654325177441,0.42093412141992165,,4.974685192108154
9,11,3494,0.991160840513877,0.9962131109385884,0.5960214704644532,,4.121358633041382
