subject,set,within_subject_auc
0,development,0.9997351835178222
1,development,0.9964514591388168
4,development,0.997034055399608
5,development,0.9992055505534664
6,development,0.9997881468142578
7,development,0.9984111011069329
8,development,0.9963984958423813
11,development,0.978210074444384
12,development,0.9572352333858609
13,development,0.9680486877139597
14,development,0.9757104819866327
15,development,0.9970870186960437
16,development,0.9945977437635718
18,development,0.9922143954239712
19,development,0.9934249850567842
21,development,0.9655490952562081
22,development,0.9933266246491181
23,development,0.994809596949314
24,development,0.9991525872570309
25,development,0.9989407340712886
27,development,0.9984111011069329
28,development,0.9998411101106933
29,development,0.9984111011069329
31,development,0.9926910650918913
32,development,0.9738629571265554
33,development,0.9888247444520948
34,development,0.9335840262697951
35,development,0.9975636883639638
36,development,0.9992055505534665
37,development,0.9991525872570309
38,development,0.9984111011069329
39,development,0.9930618081669403
40,development,0.9977225782532705
41,development,0.9961866426566389
42,development,0.9861765796303161
43,development,0.9989936973677241
44,development,0.9998940734071289
45,development,0.9991525872570308
46,development,0.9992585138499019
47,development,0.9997351835178222
48,development,0.9994174037392087
49,development,0.998517027699804
50,development,0.9995762936285155
51,development,0.9937503310206027
52,development,0.9947566336528785
53,development,0.9819395159154706
55,development,0.9986759175891107
56,development,0.9986759175891108
57,development,0.9961497890295359
58,development,0.999258513849902
59,development,0.9972459085853503
60,development,0.999258513849902
61,development,0.9959747894708967
63,development,0.9944388538742651
64,development,0.9988348074784175
65,development,0.9999470367035644
66,development,0.9941210740956518
67,development,0.9982522112176262
68,development,0.996571729957806
70,development,0.9978285048461417
72,development,0.9984640644033685
73,development,0.9967162756209946
74,development,0.9972988718817859
75,development,0.9966633123245591
76,development,0.9889306710449658
77,development,0.9986759175891108
78,development,0.9979873947354484
80,development,0.9944918171707007
81,development,0.9993644404427732
83,development,0.9967162756209946
84,development,0.994332927281394
85,development,0.999258513849902
87,development,0.9869180657804142
88,development,0.8663206397966209
90,development,0.9788961038961039
91,development,0.991737725756051
92,development,0.9985699909962396
93,development,0.9957099729887189
94,development,0.9974047984746571
95,development,0.9946507070600075
97,development,0.9989407340712886
98,development,0.9969810921031725
99,development,0.9986759175891107
100,development,0.9919495789417934
101,development,0.9916666666666667
102,development,0.9985699909962397
104,development,0.9953921932101054
105,development,0.9885599279699169
106,development,0.9875006620412055
108,development,0.9988348074784175
109,development,1.0
111,development,0.9981462846247551
112,development,0.9807213600974525
113,development,0.9980933213283194
115,development,0.99952333033208
116,development,0.9959218261744611
117,development,0.9966633123245591
118,development,0.9993644404427732
120,development,0.9643092105263158
121,development,0.9933795879455537
123,development,0.987076955669721
124,development,0.9673216460992532
125,development,0.9973518351782215
127,development,1.0
128,development,0.9970870186960437
131,development,0.9886974949736456
132,development,0.9976166516603994
133,development,0.9933795879455537
134,development,0.997298871881786
135,development,0.9942799639849584
136,development,0.9972459085853503
137,development,0.997775541549706
138,development,0.997775541549706
139,development,0.9878280715100798
143,development,0.9983581378104973
144,development,0.9993644404427732
145,development,0.9975107250675282
2,final_test,0.9965044224352524
3,final_test,0.993220698056247
9,final_test,0.9983581378104973
10,final_test,0.9272813939939623
17,final_test,0.9956040463958478
20,final_test,0.9984111011069329
26,final_test,0.9978285048461416
30,final_test,0.9981462846247551
54,final_test,0.9989407340712886
62,final_test,0.9978814681425772
69,final_test,0.998146284624755
71,final_test,0.9991525872570308
79,final_test,0.9823839662447257
82,final_test,0.9986229542926751
86,final_test,0.9953392299136697
89,final_test,0.9825221121762618
96,final_test,0.9996822202213865
103,final_test,0.993220698056247
107,final_test,0.9992055505534665
110,final_test,0.9952333033207986
114,final_test,0.9994703670356443
119,final_test,0.9766342444166712
122,final_test,0.9985699909962396
126,final_test,0.9996822202213865
129,final_test,0.9990996239605953
130,final_test,0.9990466606641598
140,final_test,0.9861979025158942
141,final_test,0.9952333033207987
142,final_test,0.995445156506541
