fold,held_out_subjects,held_out_windows,auc,train_auc,threshold,iterations,seconds
0,12,3816,0.9945749401220509,0.9958662502624843,0.4002944418087526,,68.27261757850647
1,12,3814,0.989946659354074,0.9955916915085192,0.546860047530558,,66.36830353736877
2,12,3816,0.9968431668520381,0.9954705911417664,0.5532180620360082,,54.57790279388428
3,12,3812,0.970740476443751,0.9962907449060836,0.4700984243226511,,51.023009300231934
4,12,3816,0.9977417038880944,0.9959472026592683,0.2700595820251736,,55.63281035423279
5,12,3814,0.9883099950022223,0.9964167426846566,0.5075936963696436,,70.78684401512146
6,12,3814,0.9890424762298471,0.9960181074123128,0.2769981137100266,,54.82289481163025
7,11,3496,0.9929774608217276,0.9957858596561053,0.6353158451668843,,45.918378829956055
8,11,3496,0.9954552693473515,0.9956148895834409,0.26465837877036663,,44.603452920913696
9,11,3494,0.9919312602651176,0.9959309802160173,0.7175865409875345,,44.65222191810608
