subject,set,within_subject_auc
0,development,1.0
1,development,0.9973518351782216
4,development,0.9978285048461416
5,development,0.9999470367035644
6,development,1.0
7,development,0.9997881468142576
8,development,0.9979344314390127
11,development,0.9702765853393469
12,development,0.9742433298918655
13,development,0.9596261479106667
14,development,0.9739716350595012
15,development,0.9990466606641597
16,development,0.9964514591388169
18,development,0.9903606800487261
19,development,0.98744769874477
21,development,0.9547899798945825
22,development,0.9904136433451618
23,development,0.9921084688311
24,development,1.0
25,development,1.0
27,development,0.9996822202213865
28,development,1.0
29,development,0.9995762936285154
31,development,0.9944388538742651
32,development,0.9840786828234527
33,development,0.9872358455590275
34,development,0.9071553413484456
35,development,1.0
36,development,0.9993644404427732
37,development,1.0
38,development,0.9992055505534665
39,development,0.9973518351782215
40,development,0.9977225782532705
41,development,0.9967692389174302
42,development,0.9893014141200149
43,development,0.9996292569249511
44,development,1.0
45,development,0.9997881468142578
46,development,1.0
47,development,1.0
48,development,0.9997881468142578
49,development,0.9995762936285154
50,development,0.9998940734071289
51,development,0.9986759175891108
52,development,0.9973518351782216
53,development,0.9972988718817859
55,development,1.0
56,development,0.9996822202213866
57,development,0.9984177215189873
58,development,0.9997351835178222
59,development,0.999258513849902
60,development,0.9996292569249511
61,development,0.9972988718817859
63,development,0.9981992479211905
64,development,0.9999470367035644
65,development,0.9996292569249511
66,development,0.9988348074784175
67,development,0.9998411101106933
68,development,0.9988924050632911
70,development,0.9993644404427733
72,development,0.9997881468142578
73,development,0.9903606800487262
74,development,0.9994174037392087
75,development,0.9974047984746571
76,development,0.9889836343414015
77,development,1.0
78,development,0.9993114771463375
80,development,0.9987818441819819
81,development,0.9997351835178221
83,development,0.9985170276998041
84,development,0.9934325512419893
85,development,0.9994174037392087
87,development,0.9819924792119062
88,development,0.9160531751496213
90,development,0.9835497835497835
91,development,0.9953921932101055
92,development,0.9975107250675281
93,development,0.9991525872570308
94,development,0.9997351835178222
95,development,0.9923732853132778
97,development,1.0
98,development,0.9989407340712886
99,development,0.9999470367035644
100,development,0.9976166516603993
101,development,0.9946729957805907
102,development,0.9998940734071289
104,development,0.9970340553996081
105,development,0.9844287908479423
106,development,0.9843228642550712
108,development,0.9999470367035644
109,development,0.9998411101106933
111,development,0.9997881468142578
112,development,0.9880832583019967
113,development,0.9998411101106932
115,development,1.0
116,development,0.9948625602457497
117,development,0.9997881468142578
118,development,1.0
120,development,0.9733552631578948
121,development,0.9950214501350564
123,development,0.994703670356443
124,development,0.9908373497166463
125,development,0.9975636883639638
127,development,1.0
128,development,0.9996822202213866
131,development,0.9925555615932184
132,development,0.9977225782532705
133,development,0.9893014141200148
134,development,0.9983581378104974
135,development,0.9967692389174302
136,development,0.9993644404427732
137,development,0.9978285048461416
138,development,0.9989936973677241
139,development,0.9905450198337228
143,development,0.9998411101106933
144,development,1.0
145,development,0.9998411101106933
2,final_test,0.9983581378104973
3,final_test,0.9899899369736772
9,final_test,0.9995762936285154
10,final_test,0.826386314284201
17,final_test,0.993962184206345
20,final_test,0.9985699909962397
26,final_test,0.9994703670356443
30,final_test,0.9994174037392087
54,final_test,1.0
62,final_test,0.9998940734071289
69,final_test,0.9997881468142576
71,final_test,0.9992055505534664
79,final_test,0.9791666666666666
82,final_test,0.9996822202213865
86,final_test,0.9972459085853503
89,final_test,0.9977225782532705
96,final_test,0.9999470367035644
103,final_test,0.9971929452889148
107,final_test,0.9998940734071289
110,final_test,0.9990466606641597
114,final_test,0.9995762936285154
119,final_test,0.983970004890507
122,final_test,0.9960277527673322
126,final_test,1.0
129,final_test,1.0
130,final_test,0.9996822202213865
140,final_test,0.9882627832418628
141,final_test,0.9946507070600075
142,final_test,0.9981992479211905
