fold,held_out_subjects,held_out_windows,auc,train_auc,threshold,iterations,seconds
0,12,3816,0.9965441449075789,0.9998562754140486,0.21122784136679754,,4.79529333114624
1,12,3814,0.9924529915285972,0.999780028949353,0.44466841677017266,,2.3473503589630127
2,12,3816,0.9986214830899964,0.9998051726017924,0.5409730562159117,,2.3316941261291504
3,12,3812,0.9757331040351748,0.9998700835485428,0.34694847243067956,,2.3834660053253174
4,12,3816,0.9984486167752414,0.9998377582941927,0.19402044709721916,,2.602330207824707
5,12,3814,0.9924841537250042,0.9998860448203601,0.4478482040295606,,2.9369559288024902
6,12,3814,0.9930291442744936,0.9998723552433816,0.1868894888111492,,2.1578328609466553
7,11,3496,0.996573535195084,0.9997776980995061,0.5670535240105854,,2.2055141925811768
8,11,3496,0.9978164760634972,0.9997876064431663,0.1575047126289218,,2.3649394512176514
9,11,3494,0.9955656890573572,0.9998355098083379,0.814826346158306,,2.313549757003784
