subject,set,within_subject_auc
0,development,1.0
1,development,0.999258513849902
4,development,0.9992055505534664
5,development,0.9998940734071289
6,development,1.0
7,development,0.9997881468142578
8,development,0.9988348074784175
11,development,0.9779927185784926
12,development,0.9933706460903113
13,development,0.984730750421127
14,development,0.9834266152257785
15,development,0.9996822202213865
16,development,0.9994703670356444
18,development,0.9927969916847624
19,development,0.9902189860348856
21,development,0.979351192740314
22,development,0.9954981198029765
23,development,0.9940151475027805
24,development,1.0
25,development,1.0
27,development,0.9994174037392087
28,development,1.0
29,development,0.9998411101106933
31,development,0.9959218261744611
32,development,0.9864152583817857
33,development,0.9875536253376411
34,development,0.8982575075472697
35,development,1.0
36,development,0.9992055505534665
37,development,1.0
38,development,0.9992055505534665
39,development,0.9983051745140618
40,development,0.9987288808855463
41,development,0.9947566336528785
42,development,0.992849954981198
43,development,0.9998940734071289
44,development,1.0
45,development,0.9998411101106933
46,development,1.0
47,development,1.0
48,development,1.0
49,development,0.9998940734071289
50,development,1.0
51,development,0.9993114771463376
52,development,0.9989936973677241
53,development,0.9948095969493141
55,development,0.9999470367035644
56,development,0.9998940734071289
57,development,0.9992088607594937
58,development,0.9997881468142576
59,development,0.9995762936285154
60,development,0.999629256924951
61,development,0.9997881468142578
63,development,0.9995762936285154
64,development,1.0
65,development,1.0
66,development,0.9992055505534664
67,development,1.0
68,development,0.9996835443037975
70,development,0.99952333033208
72,development,0.9998411101106933
73,development,0.9903606800487262
74,development,0.9993114771463376
75,development,0.9979344314390127
76,development,0.9951273767279275
77,development,1.0
78,development,0.9996292569249511
80,development,0.9995233303320799
81,development,1.0
83,development,0.9995233303320799
84,development,0.9926910650918913
85,development,0.9999470367035644
87,development,0.9902017901594196
88,development,0.8977808378793496
90,development,0.9938311688311687
91,development,0.9978285048461416
92,development,0.998887770774853
93,development,0.9993114771463376
94,development,0.9995762936285155
95,development,0.9925321752025847
97,development,1.0
98,development,0.9998940734071289
99,development,0.9993644404427732
100,development,0.998411101106933
101,development,0.9975210970464135
102,development,0.9998940734071289
104,development,0.9976696149568349
105,development,0.9913669826810021
106,development,0.9882421481913034
108,development,1.0
109,development,0.9998411101106933
111,development,0.9997881468142576
112,development,0.9936444044277315
113,development,0.9994174037392087
115,development,1.0
116,development,0.9982522112176262
117,development,1.0
118,development,1.0
120,development,0.9838815789473684
121,development,0.9952862666172343
123,development,0.9969810921031725
124,development,0.9905725332344685
125,development,0.9996822202213865
127,development,1.0
128,development,0.999629256924951
131,development,0.9952725099168613
132,development,0.9979873947354484
133,development,0.9945447804671362
134,development,0.9993114771463376
135,development,0.9975107250675282
136,development,0.9998411101106933
137,development,1.0
138,development,0.9995762936285154
139,development,0.9960332554474814
143,development,1.0
144,development,0.9997881468142576
145,development,0.9998940734071289
2,final_test,0.9998411101106933
3,final_test,0.9947036703564429
9,final_test,0.9996822202213866
10,final_test,0.7654255600868598
17,final_test,0.9955510830994121
20,final_test,0.9997351835178222
26,final_test,0.9994703670356443
30,final_test,0.9994174037392087
54,final_test,1.0
62,final_test,1.0
69,final_test,1.0
71,final_test,0.9996822202213865
79,final_test,0.9906118143459915
82,final_test,0.9998940734071289
86,final_test,0.9978814681425772
89,final_test,0.9968222022138657
96,final_test,1.0
103,final_test,0.9985170276998041
107,final_test,0.9998940734071289
110,final_test,0.9997351835178221
114,final_test,1.0
119,final_test,0.9940227136879857
122,final_test,0.9994174037392087
126,final_test,1.0
129,final_test,0.9997881468142576
130,final_test,1.0
140,final_test,0.9965223061457371
141,final_test,0.9972459085853503
142,final_test,0.9995762936285154
