fold,held_out_subjects,held_out_windows,auc,train_auc,threshold,iterations,seconds
0,12,3816,0.9904831576717334,0.9883505051888221,0.26,,2.4621336460113525
1,12,3814,0.9751663025113448,0.9888774635679499,0.36,,2.375997304916382
2,12,3816,0.9905512007956265,0.9879445859500569,0.28,,2.2375705242156982
3,12,3812,0.9528125221615488,0.9904288680547351,0.3,,2.2793943881988525
4,12,3816,0.9949782335563677,0.9896093347184669,0.24,,2.2508132457733154
5,12,3814,0.9855152967038641,0.9886383502526019,0.34,,2.2356715202331543
6,12,3814,0.985009116813323,0.990057316329112,0.26,,2.311828851699829
7,11,3496,0.9854869574196496,0.9883432693665761,0.28,,2.2393414974212646
8,11,3496,0.9897696397602291,0.9891305061994066,0.2,,2.293955087661743
9,11,3494,0.9883678490469794,0.988694620579244,0.36,,2.2627577781677246
