subject,set,within_subject_auc
0,development,0.99629256924951
1,development,0.9974842434193105
4,development,0.9942799639849583
5,development,0.9976696149568349
6,development,0.9976696149568349
7,development,0.9961336793602035
8,development,0.9924527302579312
11,development,0.9609302831060154
12,development,0.9283540727055373
13,development,0.9737542791936097
14,development,0.9541650817801445
15,development,0.99629256924951
16,development,0.9961336793602034
18,development,0.9958688628780256
19,development,0.9885888170406999
21,development,0.9667988914850839
22,development,0.9946771887082252
23,development,0.9961071977119856
24,development,0.9976960966050528
25,development,0.9957629362851543
27,development,0.995921826174461
28,development,0.9990731423123775
29,development,0.996663312324559
31,development,0.9926645834436735
32,development,0.9619355539857632
33,development,0.9911021661988242
34,development,0.9360733012022668
35,development,0.9937238493723849
36,development,0.9967692389174302
37,development,0.9981198029765374
38,development,0.9979873947354484
39,development,0.9939357025581272
40,development,0.9966368306763412
41,development,0.9983051745140619
42,development,0.9728033472803347
43,development,0.9975107250675281
44,development,0.9994438853874266
45,development,0.9954981198029766
46,development,0.9976431333086171
47,development,0.9978285048461417
48,development,0.9972194269371326
49,development,0.9983581378104973
50,development,0.9985964726444574
51,development,0.989778083787935
52,development,0.9948890418939674
53,development,0.9468513320269054
55,development,0.9912875377363487
56,development,0.9941210740956516
57,development,0.9947521097046413
58,development,0.9939886658545627
59,development,0.9949155235421853
60,development,0.9989936973677241
61,development,0.9966897939727769
63,development,0.9842699009586358
64,development,0.9944918171707007
65,development,0.9987288808855463
66,development,0.9933001430009003
67,development,0.9919230972935755
68,development,0.9957542194092827
70,development,0.9966897939727768
72,development,0.9930882898151581
73,development,0.9983581378104973
74,development,0.9887188178592236
75,development,0.9965838673799057
76,development,0.9908373497166463
77,development,0.9954716381547587
78,development,0.9960012711191145
80,development,0.9890101159896192
81,development,0.9975107250675281
83,development,0.9887452995074413
84,development,0.993829775965256
85,development,0.9988612891266353
87,development,0.9895927122504105
88,development,0.7457761771092634
90,development,0.9698863636363636
91,development,0.980297653725968
92,development,0.9984375827551506
93,development,0.9946507070600075
94,development,0.9953921932101053
95,development,0.9897516021397171
97,development,0.9980668396801017
98,development,0.9935914411312958
99,development,0.9975107250675282
100,development,0.9913669826810021
101,development,0.9845991561181435
102,development,0.9971399819924793
104,development,0.9911021661988242
105,development,0.9874476987447698
106,development,0.9914993909220909
108,development,0.9991790689052487
109,development,0.9990996239605954
111,development,0.9918171707007044
112,development,0.9811715481171548
113,development,0.9942270006885228
115,development,0.9975636883639638
116,development,0.9971929452889147
117,development,0.9941475557438695
118,development,0.9983051745140618
120,development,0.9479440789473684
121,development,0.9924527302579312
123,development,0.986944547428632
124,development,0.90757904771993
125,development,0.996319050897728
127,development,0.9991790689052487
128,development,0.9943594089296117
131,development,0.9838341574743249
132,development,0.9948360785975319
133,development,0.9957629362851543
134,development,0.9952597849690166
135,development,0.9929558815740692
136,development,0.9921084688311
137,development,0.9958158995815899
138,development,0.9988612891266353
139,development,0.9807911753518448
143,development,0.9966103490281235
144,development,0.9964514591388167
145,development,0.992849954981198
2,final_test,0.9960277527673322
3,final_test,0.9953657115618876
9,final_test,0.9966897939727768
10,final_test,0.9043218049891425
17,final_test,0.9968751655103014
20,final_test,0.9906519781791218
26,final_test,0.9934855145384248
30,final_test,0.9969281288067369
54,final_test,0.9932471797044647
62,final_test,0.9935649594830783
69,final_test,0.9972194269371326
71,final_test,0.9968486838620836
79,final_test,0.9691455696202532
82,final_test,0.993829775965256
86,final_test,0.992717546740109
89,final_test,0.9352788517557333
96,final_test,0.9975901700121815
103,final_test,0.9922673587204067
107,final_test,0.9978020231979239
110,final_test,0.9914729092738732
114,final_test,0.9980933213283194
119,final_test,0.9678856708145411
122,final_test,0.9955775647476298
126,final_test,0.9984375827551505
129,final_test,0.9967427572692125
130,final_test,0.9980933213283195
140,final_test,0.9849752757702549
141,final_test,0.9972194269371326
142,final_test,0.9927705100365447
