fold,held_out_subjects,held_out_windows,auc,train_auc,threshold,iterations,seconds
0,12,3816,0.9968133749977932,0.9999942576881276,0.20667315983154533,319,3.040031671524048
1,12,3814,0.9934127693201353,1.0,0.4666364066389715,490,3.9869186878204346
2,12,3816,0.9987645575505064,0.9999989452318432,0.4031346700113646,360,3.3219144344329834
3,12,3812,0.9777021576483936,0.9999987039555923,0.17711993823339406,328,3.2256462574005127
4,12,3816,0.9983625514185337,0.9998991368783582,0.17169606867999038,243,2.551640272140503
5,12,3814,0.992569355692395,0.9998718034147971,0.3218443922319862,215,2.3891711235046387
6,12,3814,0.9931502096497962,0.9999990476048751,0.11631982636107115,329,3.3316402435302734
7,11,3496,0.9968042217842839,1.0,0.5530332005618313,500,4.217555522918701
8,11,3496,0.9978204245697115,0.9998815195323514,0.20849443122026,250,2.678724765777588
9,11,3494,0.9955353471835925,0.9997203338136911,0.843914774093145,202,2.3751893043518066
