subject,set,within_subject_auc
0,development,1.0
1,development,0.9990996239605954
4,development,0.9994174037392087
5,development,0.9998411101106933
6,development,1.0
7,development,0.9997881468142578
8,development,0.998887770774853
11,development,0.9813073955333369
12,development,0.9932076291908928
13,development,0.982448513829267
14,development,0.9817421072651198
15,development,0.9998411101106933
16,development,0.9996292569249511
18,development,0.9921084688311
19,development,0.9926099005596913
21,development,0.9806553279356627
22,development,0.996557385731688
23,development,0.9947036703564429
24,development,1.0
25,development,1.0
27,development,0.9995762936285154
28,development,1.0
29,development,0.9998940734071289
31,development,0.9969281288067369
32,development,0.9891865456719013
33,development,0.9886128912663524
34,development,0.9107038822096287
35,development,1.0
36,development,0.9993114771463376
37,development,1.0
38,development,0.9989936973677241
39,development,0.9988348074784175
40,development,0.9987818441819819
41,development,0.995921826174461
42,development,0.9909432763095175
43,development,1.0
44,development,1.0
45,development,0.9997881468142576
46,development,1.0
47,development,1.0
48,development,1.0
49,development,0.9999470367035644
50,development,0.9998940734071289
51,development,0.9992055505534664
52,development,0.999258513849902
53,development,0.9990996239605953
55,development,1.0
56,development,0.9997881468142576
57,development,0.9992616033755275
58,development,0.9996822202213866
59,development,0.9996822202213865
60,development,0.9997881468142576
61,development,0.9996292569249511
63,development,0.9995233303320799
64,development,1.0
65,development,1.0
66,development,0.9993114771463376
67,development,1.0
68,development,1.0
70,development,0.99952333033208
72,development,1.0
73,development,0.9910492029023886
74,development,0.9997351835178222
75,development,0.9981992479211906
76,development,0.9951803400243632
77,development,1.0
78,development,0.9998411101106933
80,development,0.9996822202213865
81,development,1.0
83,development,0.9994703670356443
84,development,0.9930088448705048
85,development,1.0
87,development,0.9904666066415974
88,development,0.9133520470314072
90,development,0.9925324675324675
91,development,0.9987288808855463
92,development,0.9993114771463376
93,development,0.9990996239605953
94,development,0.9998411101106933
95,development,0.992373285313278
97,development,1.0
98,development,0.9998411101106933
99,development,0.9990996239605953
100,development,0.9986229542926752
101,development,0.9987341772151899
102,development,0.9999470367035644
104,development,0.997404798474657
105,development,0.9933795879455538
106,development,0.9889836343414015
108,development,1.0
109,development,0.9998940734071289
111,development,0.9998940734071289
112,development,0.9947566336528786
113,development,0.9996822202213865
115,development,1.0
116,development,0.9988348074784175
117,development,1.0
118,development,1.0
120,development,0.9843201754385965
121,development,0.9951273767279275
123,development,0.9970340553996081
124,development,0.993962184206345
125,development,0.99952333033208
127,development,1.0
128,development,0.99952333033208
131,development,0.99543552681628
132,development,0.997404798474657
133,development,0.9951273767279275
134,development,0.9989936973677243
135,development,0.9978814681425773
136,development,0.9999470367035644
137,development,1.0
138,development,0.9994174037392087
139,development,0.9980437972069771
143,development,1.0
144,development,0.9997351835178222
145,development,0.9994174037392087
2,final_test,0.9996822202213866
3,final_test,0.9954981198029765
9,final_test,0.9997881468142578
10,final_test,0.8111858482071924
17,final_test,0.9966633123245591
20,final_test,0.9997881468142578
26,final_test,0.9995762936285155
30,final_test,0.999629256924951
54,final_test,1.0
62,final_test,1.0
69,final_test,1.0
71,final_test,0.9998411101106933
79,final_test,0.9938818565400844
82,final_test,1.0
86,final_test,0.9990466606641597
89,final_test,0.9990996239605953
96,final_test,1.0
103,final_test,0.9993644404427732
107,final_test,0.9998940734071289
110,final_test,0.9997351835178222
114,final_test,1.0
119,final_test,0.9951094930174428
122,final_test,0.9994174037392087
126,final_test,1.0
129,final_test,0.9997881468142576
130,final_test,1.0
140,final_test,0.9979894582405042
141,final_test,0.9984111011069329
142,final_test,0.9994703670356443
