fold,held_out_subjects,held_out_windows,auc,train_auc,threshold,iterations,seconds
0,12,3816,0.9867470384690076,0.9830622767542234,0.07712000598748481,,1.3035802841186523
1,12,3814,0.9741925187458903,0.9838975806019844,0.11222982367884748,,1.179896354675293
2,12,3816,0.9884021414826192,0.9822869267534302,0.043871301644496374,,1.1626198291778564
3,12,3812,0.9672496631444578,0.9852445824203722,-0.053547073597112416,,0.9708764553070068
4,12,3816,0.9923228966215302,0.9836848197944759,-0.02360851908034345,,0.9117116928100586
5,12,3814,0.984772453576915,0.9824160288431786,0.23315707573397593,,1.0406475067138672
6,12,3814,0.9819549843500857,0.9842753612404946,-0.11987066003311608,,1.0468831062316895
7,11,3496,0.9847553513796157,0.9824024641161933,-0.01275404801141844,,1.0796618461608887
8,11,3496,0.9878280715100798,0.9838493768313051,-0.32286670301151044,,0.9645073413848877
9,11,3494,0.9790082604651982,0.9841380098996432,0.11236401937035267,,0.9727561473846436
