subject,set,within_subject_auc
0,development,0.9950744134314919
1,development,0.9933795879455537
4,development,0.9894073407128859
5,development,0.9955510830994121
6,development,0.9950214501350565
7,development,0.9953921932101054
8,development,0.9924792119061491
11,development,0.9584850296147367
12,development,0.8772482747378145
13,development,0.9400097810139652
14,development,0.9656577731891539
15,development,0.9895132673057571
16,development,0.9914729092738732
18,development,0.9942270006885229
19,development,0.9840786828234527
21,development,0.9063196218007934
22,development,0.9966633123245592
23,development,0.9931147714633759
24,development,0.9967692389174303
25,development,0.9950744134314919
27,development,0.9962396059530745
28,development,0.9965044224352524
29,development,0.9938032943170383
31,development,0.9959218261744611
32,development,0.9508232353420638
33,development,0.9925851384990201
34,development,0.9746835443037974
35,development,0.9934855145384248
36,development,0.9960807160637678
37,development,0.9963984958423812
38,development,0.9946507070600075
39,development,0.9914729092738732
40,development,0.9915788358667443
41,development,0.9976166516603994
42,development,0.9907314231237753
43,development,0.9948625602457497
44,development,0.9987288808855462
45,development,0.9926910650918913
46,development,0.9930088448705048
47,development,0.9934855145384249
48,development,0.9966103490281235
49,development,0.9948095969493143
50,development,0.9966633123245592
51,development,0.9903077167522907
52,development,0.99629256924951
53,development,0.9466659604893808
55,development,0.9918436523489222
56,development,0.997298871881786
57,development,0.997415611814346
58,development,0.9945977437635718
59,development,0.9924262486097135
60,development,0.9955510830994122
61,development,0.9952333033207987
63,development,0.9897780837879351
64,development,0.9898310470843705
65,development,0.9979344314390127
66,development,0.9976166516603994
67,development,0.9927969916847624
68,development,0.99915611814346
70,development,0.9939621842063451
72,development,0.9951273767279276
73,development,0.9978814681425773
74,development,0.9878714051162545
75,development,0.9945447804671363
76,development,0.9931677347598115
77,development,0.9933795879455538
78,development,0.9881362215984323
80,development,0.9925851384990202
81,development,0.9964514591388168
83,development,0.9913669826810021
84,development,0.9900958635665484
85,development,0.9957629362851544
87,development,0.9951803400243632
88,development,0.9484667125681903
90,development,0.9608766233766234
91,development,0.9853291668873471
92,development,0.9951273767279276
93,development,0.9864943594089296
94,development,0.9927440283883269
95,development,0.9893014141200149
97,development,0.9978285048461416
98,development,0.9974047984746571
99,development,0.9981992479211906
100,development,0.99581589958159
101,development,0.9933544303797469
102,development,0.9941210740956516
104,development,0.9902547534558551
105,development,0.9918436523489222
106,development,0.9929029182776337
108,development,0.9979873947354483
109,development,0.9983581378104973
111,development,0.997775541549706
112,development,0.9939092209099095
113,development,0.99581589958159
115,development,0.9939092209099095
116,development,0.9927969916847624
117,development,0.9918966156453577
118,development,0.9982522112176262
120,development,0.9623903508771929
121,development,0.9921084688311
123,development,0.9910492029023886
124,development,0.9806154335045814
125,development,0.9930618081669402
127,development,0.9968222022138657
128,development,0.9919495789417934
131,development,0.9761995326848882
132,development,0.9891425242307081
133,development,0.993591441131296
134,development,0.9965573857316878
135,development,0.9910492029023886
136,development,0.9895662306021926
137,development,0.9907843864202108
138,development,0.9952862666172343
139,development,0.9816334293321741
143,development,0.9963984958423813
144,development,0.9921614321275356
145,development,0.9911551294952599
2,final_test,0.9855410200730893
3,final_test,0.9876595519305121
9,final_test,0.9934325512419894
10,final_test,0.9565700969228325
17,final_test,0.9951273767279276
20,final_test,0.9927440283883269
26,final_test,0.9941740373920873
30,final_test,0.9953392299136699
54,final_test,0.9930618081669403
62,final_test,0.99163179916318
69,final_test,0.995445156506541
71,final_test,0.9923203220168423
79,final_test,0.9881329113924051
82,final_test,0.9925851384990202
86,final_test,0.9948625602457497
89,final_test,0.9708701869604364
96,final_test,0.995445156506541
103,final_test,0.9911551294952599
107,final_test,0.9930618081669403
110,final_test,0.992373285313278
114,final_test,0.9962925692495102
119,final_test,0.9677226539151226
122,final_test,0.989778083787935
126,final_test,0.9959747894708967
129,final_test,0.9960277527673322
130,final_test,0.9957629362851543
140,final_test,0.9745150247242298
141,final_test,0.9955510830994121
142,final_test,0.9898840103808062
