fold,held_out_subjects,held_out_windows,auc,train_auc,threshold,iterations,seconds
0,12,3816,0.9862703688010875,0.9829638473337052,0.5405078254740618,,1.054649829864502
1,12,3814,0.9741586095458821,0.9837933850425737,0.5544867040872394,,0.9628045558929443
2,12,3816,0.988309455713857,0.9822058502411107,0.6093708148767254,,0.9287838935852051
3,12,3812,0.9676334272983005,0.9851048736333902,0.4444008323609077,,1.0181000232696533
4,12,3816,0.9921875459750837,0.9836209249235266,0.5349501245762369,,1.0075201988220215
5,12,3814,0.9848067556676828,0.9822986748743118,0.6673462929388733,,0.9948351383209229
6,12,3814,0.9816412478592097,0.984209360258337,0.4960297777992021,,0.916740894317627
7,11,3496,0.9852180427670966,0.9823018995390668,0.5430955365696513,,0.8912415504455566
8,11,3496,0.9876780282739368,0.9837749129167372,0.3188662828869928,,0.9829521179199219
9,11,3494,0.9784568298898239,0.9840168016590977,0.5543296310677884,,1.0465354919433594
