subject,set,within_subject_auc
0,development,0.9944388538742652
1,development,0.9931677347598115
4,development,0.989036597637837
5,development,0.995445156506541
6,development,0.9950214501350565
7,development,0.9953921932101054
8,development,0.9922673587204067
11,development,0.9554420474922567
12,development,0.8739879367494429
13,development,0.9406618486116394
14,development,0.9637559093626039
15,development,0.9894603040093215
16,development,0.9911551294952599
18,development,0.9933795879455537
19,development,0.9834266152257785
21,development,0.9088735532250176
22,development,0.9962396059530746
23,development,0.9924262486097135
24,development,0.9966103490281235
25,development,0.9947566336528786
27,development,0.9960807160637679
28,development,0.9963455325459457
29,development,0.9936444044277315
31,development,0.9956570096922832
32,development,0.9506058794761724
33,development,0.9920555055346645
34,development,0.9770139293469626
35,development,0.9929029182776336
36,development,0.9959218261744611
37,development,0.9961336793602034
38,development,0.9946507070600075
39,development,0.9910492029023886
40,development,0.9913140193845665
41,development,0.9974577617710927
42,development,0.9908373497166463
43,development,0.9945447804671362
44,development,0.9986229542926751
45,development,0.9925321752025846
46,development,0.9930618081669403
47,development,0.993220698056247
48,development,0.9964514591388168
49,development,0.9945977437635718
50,development,0.9966633123245592
51,development,0.9896191938986282
52,development,0.996186642656639
53,development,0.9476192998252211
55,development,0.991261056088131
56,development,0.997298871881786
57,development,0.9973628691983123
58,development,0.994332927281394
59,development,0.9920025422382288
60,development,0.9953392299136699
61,development,0.9953392299136699
63,development,0.9894603040093215
64,development,0.9899369736772418
65,development,0.9978814681425772
66,development,0.9976166516603994
67,development,0.9924792119061491
68,development,0.9991033755274261
70,development,0.9936973677241672
72,development,0.9951273767279276
73,development,0.997775541549706
74,development,0.9875006620412055
75,development,0.9946507070600075
76,development,0.9930618081669403
77,development,0.9930088448705048
78,development,0.9876065886340766
80,development,0.9922673587204067
81,development,0.9963984958423813
83,development,0.9914729092738732
84,development,0.9898840103808061
85,development,0.9959218261744611
87,development,0.994703670356443
88,development,0.9477252264180922
90,development,0.9629870129870131
91,development,0.9847995339229914
92,development,0.9951803400243632
93,development,0.9861236163338807
94,development,0.9926910650918913
95,development,0.9891425242307081
97,development,0.9977225782532705
98,development,0.9976166516603994
99,development,0.9981462846247551
100,development,0.99581589958159
101,development,0.9932489451476794
102,development,0.9940681107992161
104,development,0.9894073407128859
105,development,0.9921084688311
106,development,0.9927440283883269
108,development,0.9977225782532705
109,development,0.9982522112176262
111,development,0.997775541549706
112,development,0.9935384778348604
113,development,0.9955510830994121
115,development,0.993591441131296
116,development,0.9920025422382289
117,development,0.9914729092738732
118,development,0.998040358031884
120,development,0.9619517543859648
121,development,0.9921614321275356
123,development,0.9907843864202108
124,development,0.9801917271330969
125,development,0.9927440283883269
127,development,0.9967692389174303
128,development,0.9915788358667443
131,development,0.9758734988860512
132,development,0.9890895609342726
133,development,0.9931147714633759
134,development,0.9966633123245591
135,development,0.9908373497166464
136,development,0.9884540013770458
137,development,0.9905725332344685
138,development,0.9951803400243631
139,development,0.9800032603379883
143,development,0.9964514591388167
144,development,0.9921084688311
145,development,0.9907314231237753
2,final_test,0.9847465706265558
3,final_test,0.9870239923732853
9,final_test,0.9933795879455537
10,final_test,0.9558815740691701
17,final_test,0.9948625602457497
20,final_test,0.9922673587204067
26,final_test,0.9938562576134738
30,final_test,0.9950744134314919
54,final_test,0.9925851384990202
62,final_test,0.9913669826810021
69,final_test,0.9953392299136699
71,final_test,0.992373285313278
79,final_test,0.9880274261603376
82,final_test,0.9926381017954558
86,final_test,0.9945447804671363
89,final_test,0.9709761135533075
96,final_test,0.9954981198029765
103,final_test,0.9905195699380329
107,final_test,0.9931677347598115
110,final_test,0.9924792119061491
114,final_test,0.9963455325459457
119,final_test,0.9679400097810139
122,final_test,0.989036597637837
126,final_test,0.9958688628780256
129,final_test,0.99581589958159
130,final_test,0.99581589958159
140,final_test,0.9736999402271369
141,final_test,0.995445156506541
142,final_test,0.9893014141200149
