fold,held_out_subjects,held_out_windows,auc,train_auc,threshold,iterations,seconds
0,12,3816,0.992717546740109,0.9993164980980439,0.1651688516139984,,15.606461524963379
1,12,3814,0.9829882703654232,0.999462605386017,0.17764794826507568,,18.384395360946655
2,12,3816,0.9947123136721807,0.9992832498785141,0.42224884033203125,,15.988195180892944
3,12,3812,0.9742541900101648,0.9997117741242285,0.022430380806326866,,17.1382839679718
4,12,3816,0.9975429076261262,0.9996964934838167,0.0561690516769886,,17.408619165420532
5,12,3814,0.9897433060207547,0.9995849168818913,0.1533367931842804,,17.389319896697998
6,12,3814,0.9850307092659304,0.9997273768954895,0.05798424780368805,,17.194565296173096
7,11,3496,0.9921294129795261,0.9990302309340315,0.3217914402484894,,16.91549253463745
8,11,3496,0.9953359367150971,0.9995419326585303,0.0337282232940197,,14.752909660339355
9,11,3494,0.989864714819367,0.9996037260408347,0.6823682188987732,,14.584384202957153
