subject,set,within_subject_auc
0,development,0.9980933213283194
1,development,0.9981462846247551
4,development,0.9964514591388167
5,development,0.9985699909962396
6,development,0.9998940734071289
7,development,0.9972459085853503
8,development,0.9967162756209946
11,development,0.9679943487474868
12,development,0.9497907949790795
13,development,0.966038145954464
14,development,0.9491387273814053
15,development,0.9980933213283195
16,development,0.9980933213283194
18,development,0.9957629362851543
19,development,0.993859696788567
21,development,0.967124925283921
22,development,0.9989407340712886
23,development,0.9966633123245591
24,development,0.9980933213283194
25,development,0.993962184206345
27,development,0.9971399819924792
28,development,0.9980933213283195
29,development,0.9970340553996082
31,development,0.9921084688311
32,development,0.9871216649459327
33,development,0.9941740373920873
34,development,0.9704994438853873
35,development,0.9982522112176262
36,development,0.9971399819924792
37,development,0.9996822202213865
38,development,0.9976166516603994
39,development,0.9972988718817859
40,development,0.9981462846247551
41,development,0.9987288808855463
42,development,0.9838991578835867
43,development,0.9993644404427731
44,development,1.0
45,development,0.997404798474657
46,development,0.9997881468142576
47,development,0.9998940734071289
48,development,0.9996292569249511
49,development,0.998887770774853
50,development,0.9998411101106933
51,development,0.9966633123245591
52,development,0.9929029182776337
53,development,0.9732535353000371
55,development,0.9994703670356443
56,development,0.9995762936285154
57,development,0.993090717299578
58,development,0.9989407340712886
59,development,0.9975636883639638
60,development,0.9987288808855463
61,development,0.9983581378104973
63,development,0.9975636883639638
64,development,0.9980403580318838
65,development,0.9990466606641597
66,development,0.998887770774853
67,development,0.9998411101106933
68,development,0.9974683544303797
70,development,0.9974577617710927
72,development,0.9967162756209946
73,development,0.9984111011069329
74,development,0.9947566336528786
75,development,0.9962396059530745
76,development,0.9947566336528786
77,development,0.9997351835178222
78,development,0.9970870186960437
80,development,0.9962396059530745
81,development,0.9977225782532705
83,development,0.9957099729887188
84,development,0.9985699909962397
85,development,0.9998411101106933
87,development,0.9968751655103014
88,development,0.9449711350034427
90,development,0.9898809523809524
91,development,0.9870239923732853
92,development,0.9990996239605953
93,development,0.9960807160637679
94,development,0.9885069646734812
95,development,0.9822043323976484
97,development,0.9997351835178222
98,development,0.9971929452889148
99,development,0.9982522112176262
100,development,0.9975636883639638
101,development,0.9953059071729958
102,development,0.9969810921031725
104,development,0.9979873947354483
105,development,0.9958688628780256
106,development,0.9885069646734812
108,development,0.9944918171707007
109,development,0.9976166516603994
111,development,0.9973518351782215
112,development,0.9893543774164505
113,development,0.9960807160637678
115,development,0.9998940734071289
116,development,0.9994174037392087
117,development,0.9966633123245591
118,development,0.9992055505534665
120,development,0.9800712719298246
121,development,0.9980933213283195
123,development,0.997034055399608
124,development,0.9648323711667814
125,development,0.9978285048461416
127,development,0.9991525872570309
128,development,0.9957099729887189
131,development,0.991197087431397
132,development,0.9951273767279275
133,development,0.9964514591388168
134,development,0.9984640644033684
135,development,0.9994174037392087
136,development,0.9959218261744611
137,development,0.9975636883639638
138,development,0.9963455325459456
139,development,0.9915774601967071
143,development,0.9993114771463376
144,development,0.9983051745140618
145,development,0.9962660876012923
2,final_test,0.9940151475027805
3,final_test,0.9983051745140618
9,final_test,0.9975636883639638
10,final_test,0.9524919230972936
17,final_test,0.9980403580318838
20,final_test,0.9976166516603993
26,final_test,0.9955510830994121
30,final_test,0.9987288808855463
54,final_test,0.9981992479211906
62,final_test,0.9976696149568349
69,final_test,0.9992055505534665
71,final_test,0.997404798474657
79,final_test,0.9875
82,final_test,0.9971399819924792
86,final_test,0.9981462846247551
89,final_test,0.9582119591123351
96,final_test,0.9997351835178222
103,final_test,0.9979873947354483
107,final_test,0.9982522112176262
110,final_test,0.9968751655103014
114,final_test,0.9998411101106933
119,final_test,0.9819594631310111
122,final_test,0.9951273767279276
126,final_test,0.9989936973677241
129,final_test,0.9986759175891107
130,final_test,0.9980933213283194
140,final_test,0.9902733250013585
141,final_test,0.999258513849902
142,final_test,0.9936973677241672
