fold,held_out_subjects,held_out_windows,auc,train_auc,threshold,iterations,seconds
0,12,3816,0.971018410630322,0.9565877410123943,0.14874495297245346,,0.8077878952026367
1,12,3814,0.928756033626132,0.9578949151685408,0.12806729463738872,,0.8200852870941162
2,12,3816,0.9759009645204763,0.9527782640128765,0.41274911969695743,,0.7949166297912598
3,12,3812,0.9093936157010141,0.9625264360058033,0.06287955547275481,,0.7553761005401611
4,12,3816,0.9826927716869985,0.9567275572793296,0.28285467697201905,,0.8303430080413818
5,12,3814,0.960413174215893,0.9544005273006069,0.3715944330640254,,0.7287685871124268
6,12,3814,0.9486970708084805,0.9607865712287386,0.1035362586687557,,0.7784988880157471
7,11,3496,0.9523449841045956,0.9558807708474151,0.26011139242572784,,0.8269157409667969
8,11,3496,0.9752700668569847,0.9604281427509428,0.03188618737885272,,0.7581751346588135
9,11,3494,0.9701941660052286,0.9584184380736207,0.6218291699073251,,0.8059203624725342
