subject,set,within_subject_auc
0,development,0.9864943594089297
1,development,0.9949155235421853
4,development,0.9895662306021926
5,development,0.9944388538742651
6,development,0.9871299189661565
7,development,0.986706212594672
8,development,0.9852762035909115
11,development,0.9455523555941967
12,development,0.904200402108352
13,development,0.9266967342281149
14,development,0.9566375047546596
15,development,0.9891425242307081
16,development,0.9929029182776336
18,development,0.9878184418198189
19,development,0.9879367494430256
21,development,0.9150681954029234
22,development,0.9859117631481382
23,development,0.9959218261744611
24,development,0.9904136433451618
25,development,0.9881891848948678
27,development,0.9903077167522907
28,development,0.99163179916318
29,development,0.9892484508235793
31,development,0.991366982681002
32,development,0.943867847633538
33,development,0.9813039563582437
34,development,0.9570997298871882
35,development,0.9824691488798263
36,development,0.9895662306021926
37,development,0.9876065886340766
38,development,0.9893543774164504
39,development,0.9825750754726974
40,development,0.9951273767279275
41,development,0.9914199459774377
42,development,0.9734124251893438
43,development,0.9862295429267518
44,development,0.9903606800487262
45,development,0.9855410200730893
46,development,0.9837932312907155
47,development,0.9903606800487262
48,development,0.9875536253376411
49,development,0.9891954875271437
50,development,0.9890895609342726
51,development,0.9859117631481384
52,development,0.9885599279699169
53,development,0.9332132831947461
55,development,0.984481754144378
56,development,0.9934325512419894
57,development,0.9975738396624473
58,development,0.9856469466659605
59,development,0.9863354695196229
60,development,0.9911021661988242
61,development,0.990254753455855
63,development,0.9830517451406177
64,development,0.9833165616227955
65,development,0.9928499549811981
66,development,0.9856469466659605
67,development,0.9927440283883269
68,development,0.9975210970464136
70,development,0.9858058365552672
72,development,0.9841639743657645
73,development,0.9910492029023886
74,development,0.9889836343414015
75,development,0.9881362215984323
76,development,0.9843228642550712
77,development,0.9891425242307081
78,development,0.9859647264445739
80,development,0.9781261585721095
81,development,0.9859117631481383
83,development,0.978814681425772
84,development,0.9911551294952597
85,development,0.9940151475027806
87,development,0.9901488268629839
88,development,0.8857581695884752
90,development,0.9683441558441559
91,development,0.9702346274032095
92,development,0.9881362215984322
93,development,0.9804565436152746
94,development,0.9800328372437901
95,development,0.9742068746358774
97,development,0.9955510830994122
98,development,0.990625496530904
99,development,0.9909962396059531
100,development,0.986441396112494
101,development,0.9887130801687763
102,development,0.9863884328160585
104,development,0.98792436841269
105,development,0.9845876807372491
106,development,0.9791854245008209
108,development,0.9910492029023886
109,development,0.9894603040093215
111,development,0.9879773317091256
112,development,0.9732005720036015
113,development,0.9796620941687411
115,development,0.9835284148085377
116,development,0.9930618081669402
117,development,0.9827339653620042
118,development,0.9924262486097134
120,development,0.9436951754385964
121,development,0.9883480747841745
123,development,0.9797680207616122
124,development,0.9684338753244002
125,development,0.9896721571950637
127,development,0.9924262486097135
128,development,0.9868651024839786
131,development,0.9775580068467098
132,development,0.9926910650918913
133,development,0.9929558815740692
134,development,0.9918966156453578
135,development,0.9912080927916953
136,development,0.9924262486097135
137,development,0.9920555055346645
138,development,0.9936973677241672
139,development,0.9707656360376025
143,development,0.989778083787935
144,development,0.9876595519305121
145,development,0.986706212594672
2,final_test,0.9974577617710927
3,final_test,0.9915258725703088
9,final_test,0.9878184418198188
10,final_test,0.9445474286319581
17,final_test,0.9946507070600075
20,final_test,0.9927440283883269
26,final_test,0.9915788358667443
30,final_test,0.9924262486097135
54,final_test,0.9872358455590275
62,final_test,0.9831576717334887
69,final_test,0.9887188178592236
71,final_test,0.9894073407128859
79,final_test,0.973259493670886
82,final_test,0.9880832583019967
86,final_test,0.9877654785233833
89,final_test,0.9420051904030506
96,final_test,0.9870239923732854
103,final_test,0.9905195699380329
107,final_test,0.9875536253376411
110,final_test,0.9850113871087337
114,final_test,0.9909962396059531
119,final_test,0.9381079171874152
122,final_test,0.984111011069329
126,final_test,0.990890313013082
129,final_test,0.991261056088131
130,final_test,0.9886128912663523
140,final_test,0.9764712275172526
141,final_test,0.9941740373920873
142,final_test,0.9889836343414014
