subject,set,within_subject_auc
0,development,0.9999470367035644
1,development,0.992849954981198
4,development,0.9975636883639638
5,development,0.999629256924951
6,development,1.0
7,development,0.9998411101106933
8,development,0.9976696149568349
11,development,0.9809270227680269
12,development,0.9733195674618269
13,development,0.9581046568494267
14,development,0.974786719556594
15,development,0.9966633123245592
16,development,0.99581589958159
18,development,0.9869180657804141
19,development,0.9932619681573656
21,development,0.9599521817095039
22,development,0.983475451512102
23,development,0.9899369736772416
24,development,1.0
25,development,0.9999470367035644
27,development,0.9995233303320799
28,development,1.0
29,development,0.9993114771463377
31,development,0.9873417721518988
32,development,0.9626691300331467
33,development,0.9843228642550712
34,development,0.8820507388379853
35,development,0.9993644404427732
36,development,0.9995762936285154
37,development,0.999629256924951
38,development,0.9993114771463376
39,development,0.9934855145384248
40,development,0.9968751655103014
41,development,0.9940681107992161
42,development,0.9866532492982364
43,development,0.9993644404427732
44,development,1.0
45,development,0.9995233303320799
46,development,0.9998940734071289
47,development,1.0
48,development,0.9997881468142576
49,development,0.9990996239605953
50,development,1.0
51,development,0.9925321752025845
52,development,0.9916317991631799
53,development,0.9951273767279276
55,development,1.0
56,development,0.9978285048461417
57,development,0.9889767932489452
58,development,0.9996822202213866
59,development,0.9982522112176263
60,development,0.9995233303320799
61,development,0.9930618081669402
63,development,0.9977225782532704
64,development,0.9996822202213865
65,development,0.9998411101106933
66,development,0.9946507070600075
67,development,0.999258513849902
68,development,0.9899789029535865
70,development,0.9993114771463375
72,development,0.9993644404427732
73,development,0.9932206980562469
74,development,0.9981992479211906
75,development,0.9942799639849584
76,development,0.9833695249192309
77,development,0.9998940734071289
78,development,0.9996292569249511
80,development,0.9976166516603994
81,development,0.9999470367035644
83,development,0.9985699909962396
84,development,0.9931677347598115
85,development,0.9983051745140618
87,development,0.9790794979079497
88,development,0.849054605158625
90,development,0.9725108225108224
91,development,0.9964514591388168
92,development,0.9979873947354483
93,development,0.9959747894708967
94,development,0.998517027699804
95,development,0.9939092209099094
97,development,0.9993114771463376
98,development,0.9966633123245591
99,development,0.9980933213283194
100,development,0.9903077167522907
101,development,0.994409282700422
102,development,0.9995233303320799
104,development,0.9920555055346645
105,development,0.9810391398760658
106,development,0.9770668926433982
108,development,1.0
109,development,0.9998940734071289
111,development,0.9984640644033685
112,development,0.9770668926433981
113,development,0.9997881468142576
115,development,0.9999470367035644
116,development,0.9931147714633759
117,development,0.9992055505534665
118,development,0.9996822202213865
120,development,0.9539473684210527
121,development,0.9922673587204067
123,development,0.9850643504051692
124,development,0.969069434881627
125,development,0.9970340553996081
127,development,0.9999470367035644
128,development,0.9988348074784175
131,development,0.9914144432972886
132,development,0.9973518351782215
133,development,0.984958423812298
134,development,0.9982522112176262
135,development,0.990890313013082
136,development,0.9995233303320799
137,development,0.9976166516603994
138,development,0.9958688628780256
139,development,0.9880997663424441
143,development,0.9992055505534664
144,development,0.9996822202213866
145,development,0.9997881468142578
2,final_test,0.9963984958423812
3,final_test,0.9883480747841745
9,final_test,0.9992055505534665
10,final_test,0.7816852920925799
17,final_test,0.9909962396059531
20,final_test,0.9983051745140618
26,final_test,0.9991525872570308
30,final_test,0.9991525872570308
54,final_test,1.0
62,final_test,0.9968222022138657
69,final_test,0.9995233303320799
71,final_test,0.9994174037392087
79,final_test,0.9747362869198313
82,final_test,0.9995762936285154
86,final_test,0.9962396059530746
89,final_test,0.9967162756209947
96,final_test,1.0
103,final_test,0.9935384778348605
107,final_test,0.9999470367035644
110,final_test,0.995445156506541
114,final_test,0.9991525872570308
119,final_test,0.9764168885507798
122,final_test,0.9983581378104974
126,final_test,1.0
129,final_test,0.9995762936285154
130,final_test,0.9994174037392087
140,final_test,0.9867412921806228
141,final_test,0.9922673587204067
142,final_test,0.9976166516603994
