fold,held_out_subjects,held_out_windows,auc,train_auc,threshold,iterations,seconds
0,12,3816,0.9969373238234792,0.9998872743673515,0.3036028742790222,497,1.9738082885742188
1,12,3814,0.9925020124373048,0.9998727637120391,0.4946465492248535,493,1.6241986751556396
2,12,3816,0.9988009698168059,0.9997392144330536,0.4767391085624695,409,1.579378604888916
3,12,3812,0.9777989297449353,0.9999217093174481,0.3170810043811798,499,1.7388689517974854
4,12,3816,0.9986395053228113,0.999893422320522,0.14992722868919373,498,1.6639041900634766
5,12,3814,0.9925199311745145,0.9997675419649942,0.4054981470108032,361,1.433053731918335
6,12,3814,0.9925574322329179,0.9999428562925043,0.10193859785795212,500,1.7054986953735352
7,11,3496,0.9966724008761696,0.9998564931788072,0.4842323064804077,500,1.6746304035186768
8,11,3496,0.9976795945147352,0.9998342892233671,0.25210681557655334,494,1.7137606143951416
9,11,3494,0.9956971705103371,0.9998571273121222,0.7663846015930176,497,1.688561201095581
