subject,set,within_subject_auc
0,development,1.0
1,development,0.9987288808855463
4,development,0.9988348074784175
5,development,0.9999470367035644
6,development,1.0
7,development,0.9997351835178222
8,development,0.9988348074784175
11,development,0.9867956311470956
12,development,0.9883171222083356
13,development,0.9799489213715156
14,development,0.9890778677389556
15,development,0.9997881468142578
16,development,0.9997351835178221
18,development,0.9934325512419894
19,development,0.9929902733250013
21,development,0.9758734988860511
22,development,0.9961336793602034
23,development,0.9946507070600075
24,development,1.0
25,development,1.0
27,development,0.9992585138499019
28,development,1.0
29,development,0.9998411101106933
31,development,0.9976696149568349
32,development,0.9854914959517471
33,development,0.9879243684126899
34,development,0.9218261744610985
35,development,0.9999470367035644
36,development,0.9993114771463376
37,development,1.0
38,development,0.9993644404427732
39,development,0.9986759175891108
40,development,0.9989936973677241
41,development,0.9967162756209946
42,development,0.993591441131296
43,development,1.0
44,development,1.0
45,development,0.9996822202213865
46,development,1.0
47,development,1.0
48,development,1.0
49,development,0.9999470367035644
50,development,0.9999470367035644
51,development,0.9995233303320799
52,development,0.9988348074784175
53,development,0.9981462846247551
55,development,0.9998940734071289
56,development,0.9998940734071289
57,development,1.0
58,development,0.9998940734071289
59,development,0.9996822202213865
60,development,0.9997881468142576
61,development,0.9995762936285155
63,development,0.9998940734071289
64,development,1.0
65,development,1.0
66,development,0.9994703670356443
67,development,1.0
68,development,0.9998417721518987
70,development,0.99952333033208
72,development,0.9997881468142576
73,development,0.9890895609342726
74,development,0.9999470367035644
75,development,0.9982522112176262
76,development,0.9944388538742651
77,development,1.0
78,development,0.9996292569249511
80,development,0.9993644404427732
81,development,1.0
83,development,0.9991525872570309
84,development,0.9929029182776337
85,development,1.0
87,development,0.991261056088131
88,development,0.9007467824797415
90,development,0.9917207792207793
91,development,0.998040358031884
92,development,0.99952333033208
93,development,0.9992055505534665
94,development,0.9998411101106933
95,development,0.9937503310206028
97,development,1.0
98,development,0.9998940734071289
99,development,0.9998411101106933
100,development,0.9987818441819819
101,development,0.9978902953586497
102,development,0.9999470367035644
104,development,0.997775541549706
105,development,0.9926381017954558
106,development,0.9887188178592236
108,development,1.0
109,development,0.9998411101106933
111,development,0.9997881468142576
112,development,0.9937503310206027
113,development,0.9998411101106933
115,development,0.9999470367035644
116,development,0.998517027699804
117,development,0.9999470367035644
118,development,1.0
120,development,0.9874451754385964
121,development,0.9959218261744611
123,development,0.9975107250675282
124,development,0.9932736613526827
125,development,0.9996292569249511
127,development,1.0
128,development,0.9996822202213865
131,development,0.9948921371515513
132,development,0.9982522112176262
133,development,0.9953392299136699
134,development,0.9994703670356443
135,development,0.997775541549706
136,development,0.9998411101106933
137,development,0.9998411101106933
138,development,0.999258513849902
139,development,0.9970656958104657
143,development,0.9999470367035644
144,development,0.9997881468142576
145,development,0.9999470367035644
2,final_test,0.9997351835178222
3,final_test,0.9944918171707008
9,final_test,0.9997351835178221
10,final_test,0.8201366453048038
17,final_test,0.9953921932101054
20,final_test,0.9996822202213865
26,final_test,0.9994703670356443
30,final_test,0.9994174037392087
54,final_test,1.0
62,final_test,1.0
69,final_test,1.0
71,final_test,0.9997351835178221
79,final_test,0.9904008438818566
82,final_test,0.9998940734071289
86,final_test,0.998517027699804
89,final_test,0.9984111011069329
96,final_test,1.0
103,final_test,0.9987818441819819
107,final_test,0.9997351835178222
110,final_test,0.9994703670356443
114,final_test,0.9997881468142576
119,final_test,0.9959245775145357
122,final_test,0.9997881468142576
126,final_test,1.0
129,final_test,0.9998940734071289
130,final_test,0.9999470367035644
140,final_test,0.9972287127098842
141,final_test,0.9984640644033685
142,final_test,0.999258513849902
