model,dev_auc,dev_auc_lo,dev_auc_hi,dev_ap,dev_sens,dev_spec,dev_prec,dev_f1,dev_bal_acc,dev_mcc,dev_within_subject_auc,dev_valsalva_top1,test_auc,test_auc_lo,test_auc_hi,test_ap,test_sens,test_spec,test_prec,test_f1,test_bal_acc,test_mcc,train_auc,heldout_fold_auc,train_heldout_gap,fit_verdict,minutes,p_vs_best_within_subject_auc_holm
XGBoost,0.9943565248260173,0.991961417292686,0.9962313195697596,0.9839393778313491,0.970173535791757,0.9490131578947368,0.8625012052839649,0.9131744168240518,0.9595933468432469,0.8850839832098008,0.9960139225206847,117/117,0.995142140364856,0.9894246431551146,0.9982308146015473,0.9864861172603258,0.9571491036292086,0.967397576457011,0.9064182194616978,0.9310931518502765,0.9622733400431098,0.9081351439101204,0.999857269212221,0.9939805270454011,0.005876742166819882,ok,0.3076983173688253,1.0
LightGBM,0.9942359830509736,0.991754698673586,0.9962267106491434,0.982878437715195,0.9699566160520607,0.9483695652173914,0.8609800712428998,0.9122252256847045,0.959163090634726,0.8838377906569378,0.996023565248702,117/117,0.9954833271979838,0.9897497840522426,0.9984370038154037,0.9873903700756566,0.9580236117184084,0.9707155222158107,0.9152046783625731,0.9361247596667379,0.9643695669671095,0.9148348577380676,0.9999363748119636,0.9940934969815141,0.0058428778304495665,ok,0.5890966693560282,1.0
HistGradBoost,0.9941027505249259,0.9916227920643907,0.996030821321564,0.9830442384199731,0.9668112798264642,0.9525886727688787,0.8705078125,0.9161356628982528,0.9596999762976715,0.8887659246408972,0.9955512523230455,117/117,0.9945945635672261,0.9877133790045275,0.9980905703146842,0.9851975345183759,0.954962833406209,0.9650894402769763,0.9002473206924979,0.9267982176957352,0.9600261368415927,0.9023991066131484,0.9998308533222684,0.9937269338652024,0.006103919457066009,ok,0.4784257690111796,0.0007288504969924872
CatBoost,0.9934491487327322,0.9906094867912022,0.9956340711779569,0.9814015912863976,0.9677874186550977,0.9467963386727689,0.8570742483911248,0.9090723855127095,0.9572918786639333,0.8796146778295884,0.99543288753883,117/117,0.9952146796249959,0.9897855254257187,0.9982447576543343,0.9869218011288695,0.9567118495846086,0.9697057126370456,0.9124270225187656,0.9340448239060832,0.9632087811108272,0.91205394171288,0.9994209988289866,0.9929556387144529,0.006465360114533691,ok,1.1072419246037801,0.10375532177799693
GradientBoosting,0.9910356490466949,0.9880504862795688,0.9935008574783311,0.9743695858747948,0.9626898047722343,0.9366061212814645,0.8335054934735656,0.8934521113292062,0.9496479630268494,0.8590176777062587,0.9939863567809825,117/117,0.9915151773578602,0.9844707151922997,0.9961925783443085,0.9764332501842166,0.9309138609532138,0.9642238892094633,0.8956668068994531,0.91295025728988,0.9475688750813386,0.8837839419521406,0.9958933060030656,0.9907563408326274,0.005136965170438157,ok,10.123232038815816,3.122286091687236e-13
MLP_64_32,0.9892923548046233,0.9848932992533277,0.992384343187454,0.9707609672290436,0.9505422993492407,0.948691361556064,0.8592999313658202,0.902621144240177,0.9496168304526524,0.8703552009795328,0.9937935171553529,117/117,0.9921517882126099,0.9877561468094455,0.995558464012807,0.9788964540494388,0.9540883253170092,0.95600115406809,0.877362283876156,0.9141181399245916,0.9550447396925497,0.8855977551389702,0.9994958804381397,0.989431930821468,0.010063949616671786,ok,3.075589597225189,8.10082376246143e-09
ExtraTrees,0.9883956548419764,0.9854409376963116,0.9912398941629254,0.9665922670419173,0.9546637744034707,0.934603832951945,0.8279559778007713,0.8868067099894212,0.9446338036777079,0.8498691662007621,0.9924524260312693,117/117,0.9888170322687428,0.9823644559533784,0.9938866180529559,0.9680167952455399,0.9243550502842152,0.9519619157530295,0.8639149979566817,0.8931136459653571,0.9381584830186223,0.8571328104526599,0.9962043501338718,0.9880952297118515,0.008109120422020277,ok,0.8583870530128479,3.9339829251288235e-16
RandomForest,0.9877804452376935,0.984498521765566,0.9910480669852859,0.9632106836930177,0.957592190889371,0.9250929633867276,0.8082204320761626,0.8765885623510723,0.9413425771380493,0.83681741118675,0.9912224033918706,117/117,0.9893974094274798,0.9810397370283039,0.9947697276707645,0.9695794223724342,0.944905990380411,0.9460473167916907,0.852465483234714,0.8963085856491083,0.9454766535860508,0.8618071663321387,0.9974809293944498,0.987281413051344,0.010199516343105786,ok,2.459726166725159,3.9339829251288235e-16
AdaBoost,0.9850241925075822,0.9812451747337931,0.9886067177792883,0.9549705383800642,0.9484815618221258,0.9285612128146453,0.814018430605976,0.8761208235235184,0.9385213873183855,0.835569093178339,0.9905627532153451,117/117,0.9866208903986026,0.9788457756169663,0.9927069368411044,0.9625214308494969,0.9212942719720157,0.9516733987305251,0.8628173628173628,0.8910974836117571,0.9364838353512704,0.8544151632223329,0.9888916373318317,0.9850602283319827,0.0038314089998490175,ok,10.219330112139383,3.601167039596402e-18
KNN_k50,0.984283698335749,0.9797148045689485,0.9879215819650886,0.9546640770205289,0.9478308026030369,0.9248426773455377,0.806106447744673,0.8712427097353074,0.9363367399742872,0.8291778387336797,0.9879409898606,117/117,0.9842305010053312,0.975574219943282,0.9910438044979205,0.956289760690115,0.9108001749016178,0.9516733987305251,0.8614557485525227,0.8854410201912858,0.9312367868160715,0.846824902351173,0.9890074820206971,0.9838140276440667,0.005193454376630435,ok,0.4152425408363342,3.9339829251288235e-16
LinearSVM,0.9822380520408822,0.9774990754082082,0.9860751269237641,0.9525429516929014,0.9415401301518438,0.9251644736842105,0.805736031186189,0.8683605081524457,0.9333523019180272,0.8250147196052288,0.9888113167791603,117/117,0.9813633394400876,0.9741422929968643,0.9881344412618007,0.9510115325618544,0.9073021425448186,0.9470571263704558,0.8497133497133497,0.8775639670120533,0.9271796344576372,0.8362022314220308,0.9835257427255302,0.9827233379745399,0.0008024047509902488,ok,0.19435141881306967,3.3739823537481843e-15
LogisticRegression,0.9821554933248784,0.9774201719857964,0.9859562453794052,0.9520030715019993,0.9365509761388287,0.9310283180778032,0.8173987126088603,0.8729276182773958,0.9337896471083159,0.8307196738836385,0.9885894329484062,117/117,0.9816024666880794,0.974600387575834,0.988104380167938,0.9514030251535219,0.8906864888500219,0.9561454125793422,0.870140965399402,0.880293863439931,0.923415950714682,0.840287255876048,0.9834290530421855,0.9826360311791961,0.0007930218629894625,ok,0.18045952717463176,2.2225992594567687e-15
DecisionTree,0.9681482741974713,0.9584742997888961,0.9757784492085775,0.8988303223743753,0.9383947939262473,0.9067863272311213,0.7684519051425526,0.8449631329654768,0.9225905605786843,0.7943340148032908,0.9723932563098712,117/117,0.9717118962620457,0.9546657694307891,0.9847689286792508,0.9164975746887218,0.9252295583734149,0.9232544720138488,0.7990936555891238,0.8575481256332319,0.9242420151936319,0.8098998304885698,0.9859158354854193,0.9688452542624388,0.01707058122298044,ok,0.4564416925112406,8.833057431659354e-20
NaiveBayes,0.954681062522027,0.942590234704551,0.9658395195773963,0.8568169603966417,0.9163774403470716,0.8688858695652174,0.6973423572136018,0.791994750656168,0.8926316549561445,0.7234980257443093,0.9823596068679977,117/117,0.960265831788142,0.9420939583635076,0.9768286378008076,0.8951480268953821,0.8460865763008307,0.9280150028851702,0.794987674609696,0.8197415801736919,0.8870507895930004,0.7584467589378947,0.9576429363680268,0.9574681258156126,0.00017481055241419519,ok,0.14439473946889242,1.5198157158367203e-18
